city_code,lat,lon
008750,29.1080344,119.6486487
008760,41.0250843,113.1090705
008770,35.4125047,116.5849266
008780,24.784435,118.5477505
008800,31.7237725,119.5825664
008820,37.6866796,112.7383414
008830,38.033333,115.033333
008840,41.108528,121.1194219
008850,28.2637217,109.6950782
008860,29.7275361,115.9913134
008870,39.7321262,98.4936839
008880,44.1531255,125.840489
008890,45.2928513,130.9619259
008900,35.0945453,112.5810521
008910,40.0437295,117.4186824
008920,31.9457106,119.1676967
008930,34.7961106,114.3472038
008940,26.5884307,107.9762121
008950,22.3699417,112.688154
008960,42.5434674,124.0382894
008970,23.7183499,103.2674592
008980,39.4665981,75.9900135
009000,41.7238743,86.173541
009010,44.4245113,84.9006885
009020,38.909218,121.63525250000001
009030,31.3869323,120.9764683
009040,36.2030789,117.654083
009050,36.8618279,120.5158492
009060,36.9794733,120.7013712
009070,37.1823043,119.9325123
009080,39.5128345,116.6997446
009090,31.5866697,105.9743103
009100,46.2534603,126.2821065
009110,36.0606904,103.8305691
009120,32.3615609,111.6791987
009140,25.1313491,113.3470997
009150,26.4249444,112.8547135
009160,20.9076779,110.0932095
009170,37.73472,117.22028
009180,27.6581325,111.4534719
009200,28.9807803,117.1472311
009210,28.11941,120.96121
009220,29.5608755,103.7619922
009230,21.609612,110.2833464
009240,27.6958345,111.6593577
009250,34.6092633,119.1695305
009260,24.7857601,112.3760545
009270,36.4441808,115.9642007
009280,41.273887,123.1693463
009290,42.8863846,125.1374905
009300,30.2939312,108.9318477
009310,27.6500795,113.4923249
009320,30.2361285,119.7203175
009340,36.0885338,111.512998
009350,34.5227346,110.8704085
009360,41.1676142,121.355281
009380,41.240767,119.3958124
009390,28.8602058,121.1419179
009400,31.4763098,110.389156
009420,36.8459198,115.7118439
009440,29.4769835,113.4454266
009450,37.1767104,116.8507744
009460,36.0673949,113.8105402
009480,23.201613,113.1579123
009490,31.7383487,116.5142252
009500,26.5927706,104.8393163
009510,28.1659977,113.6375145
009520,31.282352,118.138034
009530,31.4191111,119.4788664
009540,24.4490237,117.8132438
009550,42.76411,129.4205702
009560,37.6443474,120.4708629
009570,35.0667935,113.4200393
009580,25.283333,108.483333
009590,27.6996403,111.9881054
009610,25.1524346,102.0772106
009620,22.7413919,111.5755827
009630,33.572055400000004,114.0285163
009640,34.6556873,112.4209629
009650,38.0762246,114.2945525
009680,24.535018,103.7639695
009690,28.8743249,105.4383176
009700,31.6866105,118.5048377
009710,31.1708218,115.0159244
009730,21.6656562,110.9196315
009740,42.5358335,125.6925277
009750,30.0765357,103.8432023
009770,24.26104,116.1264821
009790,31.458932,104.750108
009800,31.3413886,104.1979778
009810,28.8095267,113.0611966
009820,32.784008300000004,118.0127491
009840,35.7656,112.971
009850,44.5498406,129.6259558
009860,44.9170351,130.517213
009870,24.9634415,118.3815602
009880,28.6995217,116.0349714
009890,30.7955696,106.0835539
009900,29.1601071,107.0948587
009910,37.3560772,115.3920309
009920,30.128189,111.778369
009930,24.5167811,117.3523949
009940,21.595065,109.447012
009950,22.8211654,108.3159756
009960,26.6417374,118.173639
009970,31.9827896,120.8904588
009980,25.1192792,114.3064615
009990,33.0010496,112.5292693
010000,48.4812343,124.8768238
010010,29.5910776,105.0629494
010020,44.3439563,129.4603434
010050,30.6353605,118.9867301
010060,41.1169056,122.0655098
010070,42.9409718,126.052932
010080,24.5262945,102.11136
010090,37.8137692,120.7599494
010100,30.9928222,103.955725
010110,33.7374744,113.2981436
010120,36.7842974,119.9493639
010130,30.6782402,121.0116196
010140,35.5410175,106.6798544
010160,27.6503105,113.8359582
010170,34.3142567,117.9419078
010180,39.4010519,121.9642662
010190,23.300182,116.16801
010210,34.7397,113.817
010220,35.7631348,115.0234071
010230,44.9987049,124.0174055
010240,30.4049826,112.8940372
010250,31.8127933,121.656138
010260,36.0634258,120.3785584
010280,23.6832984,113.0505994
010290,43.6263167,122.2757242
010300,36.6841879,118.4738162
010310,39.9395724,119.5894129
010320,35.0856355,112.942221
010330,21.9647384,108.6209024
010340,19.2592373,110.4703445
010350,30.4145205,103.4654411
010360,20.0053784,110.3505219
010370,47.3527088,123.9115944
010380,45.7700345,131.0074987
010390,37.3083612,120.8310336
010400,24.977074000000002,118.5631554
010410,35.5956915,116.987543
010420,25.4902717,103.79654
010430,36.7698986,114.9585243
010440,27.8065324,106.4099199
010450,38.7063767,116.1062203
010460,35.415070299999996,119.5214512
010470,39.0441839,115.9035239
010480,32.3926766,120.563809
010490,27.7809047,120.6512652
010500,29.6788274,115.676514
010510,25.8885861,116.021852
010530,36.9136248,121.525514
010540,34.1678145,112.8392579
010550,39.983988600000004,117.0733273
010560,34.7678842,111.1908398
010580,27.868468,107.1742399
010590,28.7009973,101.908668
010610,36.854965,114.501421
010620,31.2252985,121.4890497
010630,34.417097,115.6508622
010640,28.4531644,117.903535
010650,30.0348513,120.8641815
010660,24.4284906,107.9192672
010670,28.2494995,121.3977579
010680,36.4744645,117.8703655
010690,24.068254,117.816089
010700,24.8134099,113.5923564
